#;NAME;ELONG;ELAT;F0;PEPOCH;BINARY
1331;J1650-1654;253.31;5.53;0.571574977551;50862.00;*
1332;J1650-4126;256.26;-18.83;3.23710835821;51685.000;*
1333;J1650-4341;256.67;-21.05;3.23207912775;51737.000;*
1334;J1650-4502;256.82;-22.40;2.6255691627;51118.000;*
1335;J1650-4601;256.91;-23.37;7.8664037135;55716;*
1336;J1650-4921;257.44;-26.67;6.393872581394;55599;*
1337;J1651+14;249.04;36.56;1.207729;*;*
1338;B1648-17;253.59336;5.3135;1.027333553063;50027.00;*
1339;B1648-42;256.75;-20.11;1.18472094037;57600;*
1340;J1651-4519;257.12;-22.64;1.9325792514;51399.000;*
1341;B1647-52;258.10;-29.65;1.5746588888;57600;*
1342;B1647-528;258.18;-30.19;1.12291858733;57600;*
1343;J1651-7642;263.41;-53.67;0.56969958858;53000.0;*
1344;J1652-1400;253.40;8.46;3.27388977245;53000.0;*
1345;B1649-23;254.73203;-1.5086;0.5869443142906;48742.00;*
1346;J1652+2651;246.63;48.93;1.09193730211;51739.0;*
1347;J1652-4406;257.15;-21.41;0.12974909238;54947;*
1348;J1652-48;257.77;-26.02;264.19215;51373.3;*
1349;J1653-0158;252.27;20.45;508.21219457426;56100.0;ELL1
1350;J1653-2054;254.50;1.63;242.18087063654;55694.6;ELL1
1351;B1650-38;256.59;-15.97;3.27828740321;48360.5;*
1352;J1653-4030;256.80;-17.82;0.98099656939;53139.00000;*
1353;J1653-4105;256.85;-18.41;2.00409610806;57883;*
1354;J1653-4249;257.12;-20.12;1.63249783074;51118.000;*
1355;J1653-4315;257.14;-20.55;2.3850424939;51587.000;*
1356;J1653-45;257.48;-22.56;1.051550;*;*
1357;J1653-4854;257.99;-26.16;0.32684976680;51708.00002;*
1358;J1654-23;254.92;-1.00;1.83365211;55261;*
1359;J1654-2636;255.40;-3.99;0.615866;54793;*
1360;J1654-2713;255.40903;-4.6048;1.26290939372;51002.00;*
1361;J1654-3710;256.63;-14.50;1.06477508236;53131.00000;*
1362;J1654-4140;257.11;-18.97;0.78496316660;51399.00001;*
1363;J1654-4245;257.25;-20.05;0.9078078525;54024.2;*
1364;J1655-3048;256.04;-8.15;1.84183813866;51500.000;*
1365;J1655-3844;257.00;-16.02;0.83791449172;54863.3;*
1366;J1656+00;252.77;22.93;0.667624;57022;*
1367;J1656-3621;256.91;-13.65;1.36961215431;53123.00000;*
1368;J1656+6203;205.65;81.79;1.28840192872;57652;*
1369;J1657-0406A;253.46;18.44;211.4;*;*
1370;J1657-0406B;253.46;18.44;136.1;*;*
1371;J1657+3304;246.79;55.27;0.63683091551;57927;*
1372;J1657-4432;258.09;-21.74;1.64040072874;51685.000;*
1373;J1658-2823;256.34;-5.68;0.3;*;*
1374;J1658+3630;245.79;58.66;30.277356639727;58073;ELL1
1375;J1658-4306;258.05;-20.31;0.8573028021;51451.00001;*
1376;J1658-47;258.58;-24.37;2.707350;56657;*
1377;J1658-4958;259.03;-27.12;2.39880767693;52146.00000;*
1378;J1658-5324;259.45;-30.52;409.95436264371;55520.0;*
1379;B1657-13;255.15856;9.5825;1.560164141185;49725.00;*
1380;J1659-4316;258.39;-20.43;2.10800829679;51527.000;*
1381;J1659-4439;258.50;-21.81;2.83051151693;51685.000;*
1382;J1659-54;259.66;-31.10;1.8363;58196.8;*
1383;J1700-0954;254.86;12.74;1.22352355821;57199;*
1384;J1700-3312;257.46722;-10.4144;0.736210585862;50856.00;*
1385;J1700-3611;257.77;-13.38;0.66930344771;52828.00001;*
1386;J1700-3919;258.02;-16.50;1.78411007426;52025.00000;*
1387;J1700-4012;258.17;-17.38;3.52370931957;53105.00000;*
1388;J1700-4422;258.70;-21.51;1.3235647032;55065;*
1389;J1700-4939;259.25;-26.77;1.72901662205;51709.000;*
1390;J1701-3006A;257.22;-7.32;190.78267088868;55038.0;BT
1391;J1701-3006B;257.22;-7.32;278.2529621831;55038.0;BT
1392;J1701-3006C;257.22;-7.33;131.35687282698;55038.0;BT
1393;J1701-3006D;257.22;-7.32;292.58840407111;55038.0;BT
1394;J1701-3006E;257.22;-7.32;309.2397115125;55038.0;BT
1395;J1701-3006F;257.22;-7.32;435.7816702574;55038.0;BT
1396;J1701-3006G;257.22;-7.32;217.0090551;58700.000;ELL1
